frame,gps_longitude,gps_latitude,gps_azimuth
164,36.177773,120.487686,181.569147
165,36.177773,120.487686,181.569147
166,36.177773,120.487686,181.567737
167,36.177773,120.487686,181.567737
168,36.177773,120.487686,181.567737
169,36.177773,120.487686,181.567737
170,36.177773,120.487686,181.565626
171,36.177773,120.487686,181.565626
172,36.177773,120.487686,181.565692
173,36.177773,120.487686,181.565692
174,36.177773,120.487686,181.565692
175,36.177773,120.487686,181.565692
176,36.177773,120.487686,181.565954
177,36.177773,120.487686,181.565954
178,36.177773,120.487686,181.565954
179,36.177773,120.487686,181.565171
180,36.177773,120.487686,181.565171
181,36.177773,120.487686,181.565171
182,36.177773,120.487686,181.564997
183,36.177773,120.487686,181.564997
184,36.177773,120.487686,181.564997
185,36.177773,120.487686,181.562274
186,36.177773,120.487686,181.562274
187,36.177773,120.487686,181.562274
188,36.177773,120.487686,181.562303
189,36.177773,120.487686,181.562303
190,36.177773,120.487686,181.562303
191,36.177773,120.487686,181.562303
192,36.177773,120.487686,181.561866
193,36.177773,120.487686,181.561866
194,36.177773,120.487686,181.558651
195,36.177773,120.487686,181.558651
196,36.177773,120.487686,181.559507
197,36.177773,120.487686,181.559507
198,36.177773,120.487686,181.558833
199,36.177773,120.487686,181.558833
200,36.177773,120.487686,181.558833
201,36.177773,120.487686,181.560269
202,36.177773,120.487686,181.560269
203,36.177773,120.487686,181.560269
204,36.177773,120.487686,181.560269
205,36.177773,120.487686,181.559073
206,36.177773,120.487686,181.558390
207,36.177773,120.487686,181.558390
208,36.177773,120.487686,181.558390
209,36.177773,120.487686,181.558390
210,36.177773,120.487686,181.557549
211,36.177773,120.487686,181.557549
212,36.177773,120.487686,181.557549
213,36.177773,120.487686,181.556455
214,36.177773,120.487686,181.556455
215,36.177773,120.487686,181.556455
216,36.177773,120.487686,181.556455
217,36.177773,120.487686,181.555994
218,36.177773,120.487686,181.556430
219,36.177773,120.487686,181.556430
220,36.177773,120.487686,181.556430
221,36.177773,120.487686,181.556430
222,36.177773,120.487686,181.557287
223,36.177773,120.487686,181.557287
224,36.177773,120.487686,181.555172
225,36.177773,120.487686,181.555172
226,36.177773,120.487686,181.557764
227,36.177773,120.487686,181.557764
228,36.177773,120.487686,181.555760
229,36.177773,120.487686,181.555760
230,36.177773,120.487686,181.555400
231,36.177773,120.487686,181.555400
232,36.177773,120.487686,181.555400
233,36.177773,120.487686,181.555400
234,36.177773,120.487686,181.554162
235,36.177773,120.487686,181.554162
236,36.177773,120.487686,181.554162
237,36.177773,120.487686,181.554111
238,36.177773,120.487686,181.554111
239,36.177773,120.487686,181.554111
240,36.177773,120.487686,181.552839
241,36.177773,120.487686,181.552839
242,36.177773,120.487686,181.553093
243,36.177773,120.487686,181.553093
244,36.177773,120.487686,181.553093
245,36.177773,120.487686,181.553093
246,36.177773,120.487686,181.550476
247,36.177773,120.487686,181.550476
248,36.177773,120.487686,181.549786
249,36.177773,120.487686,181.549786
250,36.177773,120.487686,181.549786
251,36.177773,120.487686,181.549786
252,36.177773,120.487686,181.550033
253,36.177773,120.487686,181.550033
254,36.177773,120.487686,181.547587
255,36.177773,120.487686,181.547587
256,36.177773,120.487686,181.548037
257,36.177773,120.487686,181.548037
258,36.177773,120.487686,181.546984
259,36.177773,120.487686,181.546984
260,36.177773,120.487686,181.546920
261,36.177773,120.487686,181.546920
262,36.177773,120.487686,181.546920
263,36.177773,120.487686,181.546920
264,36.177773,120.487686,181.546126
265,36.177773,120.487686,181.546126
266,36.177773,120.487686,181.544505
267,36.177773,120.487686,181.544505
268,36.177773,120.487686,181.544505
269,36.177773,120.487686,181.544505
270,36.177773,120.487686,181.544511
271,36.177773,120.487686,181.544511
272,36.177773,120.487686,181.544228
273,36.177773,120.487686,181.544228
274,36.177773,120.487686,181.544228
275,36.177773,120.487686,181.544228
276,36.177773,120.487686,181.542487
277,36.177773,120.487686,181.542487
278,36.177773,120.487686,181.544329
279,36.177773,120.487686,181.544329
280,36.177773,120.487686,181.544329
281,36.177773,120.487686,181.544329
282,36.177773,120.487686,181.545505
283,36.177773,120.487686,181.545505
284,36.177773,120.487686,181.542763
285,36.177773,120.487686,181.542763
286,36.177773,120.487686,181.542763
287,36.177773,120.487686,181.542763
288,36.177773,120.487686,181.542763
289,36.177773,120.487686,181.542763
290,36.177773,120.487686,181.542763
291,36.177773,120.487686,181.543130
292,36.177773,120.487686,181.543130
293,36.177773,120.487686,181.543130
294,36.177773,120.487686,181.539476
295,36.177773,120.487686,181.539476
296,36.177773,120.487686,181.539933
297,36.177773,120.487686,181.539933
298,36.177773,120.487686,181.539933
299,36.177773,120.487686,181.539933
300,36.177773,120.487686,181.537510
301,36.177773,120.487686,181.537510
302,36.177773,120.487686,181.537510
303,36.177773,120.487686,181.537510
304,36.177773,120.487686,181.536571
305,36.177773,120.487686,181.536571
306,36.177773,120.487686,181.534793
307,36.177773,120.487686,181.534793
308,36.177773,120.487686,181.534793
309,36.177773,120.487686,181.534793
310,36.177773,120.487686,181.534930
311,36.177773,120.487686,181.534930
312,36.177773,120.487686,181.534198
313,36.177773,120.487686,181.534198
314,36.177773,120.487686,181.534198
315,36.177773,120.487686,181.534198
316,36.177773,120.487686,181.532702
317,36.177773,120.487686,181.532702
318,36.177773,120.487686,181.532128
319,36.177773,120.487686,181.532128
320,36.177773,120.487686,181.532128
321,36.177773,120.487686,181.532128
322,36.177773,120.487686,181.532128
323,36.177773,120.487686,181.531960
324,36.177773,120.487686,181.531335
325,36.177773,120.487686,181.531335
326,36.177773,120.487686,181.530185
327,36.177773,120.487686,181.530185
328,36.177773,120.487686,181.529324
329,36.177773,120.487686,181.529324
330,36.177773,120.487686,181.529422
331,36.177773,120.487686,181.529422
332,36.177773,120.487686,181.529422
333,36.177773,120.487686,181.529422
334,36.177773,120.487686,181.529422
335,36.177773,120.487686,181.529176
336,36.177773,120.487686,181.529176
337,36.177773,120.487686,181.526039
