frame,gps_longitude,gps_latitude,gps_azimuth
164,36.177757,120.487685,185.208299
165,36.177757,120.487685,185.208299
166,36.177757,120.487685,185.206267
167,36.177757,120.487685,185.206267
168,36.177757,120.487685,185.206267
169,36.177757,120.487685,185.206267
170,36.177757,120.487685,185.203729
171,36.177757,120.487685,185.203729
172,36.177757,120.487685,185.203729
173,36.177757,120.487685,185.203729
174,36.177757,120.487685,185.204443
175,36.177757,120.487685,185.204443
176,36.177757,120.487685,185.204443
177,36.177757,120.487685,185.204443
178,36.177757,120.487685,185.205356
179,36.177757,120.487685,185.205356
180,36.177757,120.487685,185.205356
181,36.177757,120.487685,185.205356
182,36.177757,120.487685,185.204830
183,36.177757,120.487685,185.204830
184,36.177757,120.487685,185.204830
185,36.177757,120.487685,185.204830
186,36.177757,120.487685,185.204975
187,36.177757,120.487685,185.204975
188,36.177757,120.487685,185.204438
189,36.177757,120.487685,185.204438
190,36.177757,120.487685,185.204438
191,36.177757,120.487685,185.204438
192,36.177757,120.487685,185.203793
193,36.177757,120.487685,185.203793
194,36.177757,120.487685,185.205666
195,36.177757,120.487685,185.205666
196,36.177757,120.487685,185.206389
197,36.177757,120.487685,185.206389
198,36.177757,120.487685,185.206243
199,36.177757,120.487685,185.206243
200,36.177757,120.487685,185.205404
201,36.177757,120.487685,185.205404
202,36.177757,120.487685,185.205404
203,36.177757,120.487685,185.205404
204,36.177757,120.487685,185.205404
205,36.177757,120.487685,185.205404
206,36.177757,120.487685,185.206936
207,36.177757,120.487685,185.206936
208,36.177757,120.487685,185.206936
209,36.177757,120.487685,185.206936
210,36.177757,120.487685,185.205182
211,36.177757,120.487685,185.205182
212,36.177757,120.487685,185.208691
213,36.177757,120.487685,185.208691
214,36.177757,120.487685,185.208691
215,36.177757,120.487685,185.208691
216,36.177757,120.487685,185.208691
217,36.177757,120.487685,185.208691
218,36.177757,120.487685,185.206847
219,36.177757,120.487685,185.206847
220,36.177757,120.487685,185.206847
221,36.177757,120.487685,185.206847
222,36.177757,120.487685,185.203247
223,36.177757,120.487685,185.203247
224,36.177757,120.487685,185.205571
225,36.177757,120.487685,185.205571
226,36.177757,120.487685,185.205295
227,36.177757,120.487685,185.205295
228,36.177757,120.487685,185.203489
229,36.177757,120.487685,185.203489
230,36.177757,120.487685,185.207189
231,36.177757,120.487685,185.207189
232,36.177757,120.487685,185.207189
233,36.177757,120.487685,185.207189
234,36.177757,120.487685,185.207165
235,36.177757,120.487685,185.207165
236,36.177757,120.487685,185.207165
237,36.177757,120.487685,185.207165
238,36.177757,120.487685,185.207627
239,36.177757,120.487685,185.207627
240,36.177757,120.487685,185.207627
241,36.177757,120.487685,185.207627
242,36.177757,120.487685,185.208300
243,36.177757,120.487685,185.208300
244,36.177757,120.487685,185.208300
245,36.177757,120.487685,185.208300
246,36.177757,120.487685,185.210126
247,36.177757,120.487685,185.210126
248,36.177757,120.487685,185.210126
249,36.177757,120.487685,185.210126
250,36.177757,120.487685,185.211805
251,36.177757,120.487685,185.211805
252,36.177757,120.487685,185.211805
253,36.177757,120.487685,185.211805
254,36.177757,120.487685,185.220882
255,36.177757,120.487685,185.220882
256,36.177757,120.487685,185.216116
257,36.177757,120.487685,185.216116
258,36.177757,120.487685,185.213360
259,36.177757,120.487685,185.213360
260,36.177757,120.487685,185.213360
261,36.177757,120.487685,185.213360
262,36.177757,120.487685,185.212394
263,36.177757,120.487685,185.212394
264,36.177757,120.487685,185.212394
265,36.177757,120.487685,185.212394
266,36.177757,120.487685,185.209353
267,36.177757,120.487685,185.209353
268,36.177757,120.487685,185.209353
269,36.177757,120.487685,185.209353
270,36.177757,120.487685,185.207012
271,36.177757,120.487685,185.207012
272,36.177757,120.487685,185.207012
273,36.177757,120.487685,185.207012
274,36.177757,120.487685,185.208073
275,36.177757,120.487685,185.208073
276,36.177757,120.487685,185.208073
277,36.177757,120.487685,185.208073
278,36.177757,120.487685,185.207876
279,36.177757,120.487685,185.207876
280,36.177757,120.487685,185.211000
281,36.177757,120.487685,185.211000
282,36.177757,120.487685,185.211095
283,36.177757,120.487685,185.211095
284,36.177757,120.487685,185.211095
285,36.177757,120.487685,185.211095
286,36.177757,120.487685,185.213714
287,36.177757,120.487685,185.213714
288,36.177757,120.487685,185.213714
289,36.177757,120.487685,185.213714
290,36.177757,120.487685,185.214194
291,36.177757,120.487685,185.214194
292,36.177757,120.487685,185.214194
293,36.177757,120.487685,185.214194
294,36.177757,120.487685,185.218185
295,36.177757,120.487685,185.218185
296,36.177757,120.487685,185.218185
297,36.177757,120.487685,185.218185
298,36.177757,120.487685,185.217456
299,36.177757,120.487685,185.217456
300,36.177757,120.487685,185.217456
301,36.177757,120.487685,185.217456
302,36.177757,120.487685,185.216162
303,36.177757,120.487685,185.216162
304,36.177757,120.487685,185.216162
