frame,gps_longitude,gps_latitude,gps_azimuth,curviture
1,36.177796,120.487684,195.410249,1
2,36.177796,120.487684,195.410249,1
3,36.177796,120.487684,195.408527,1
4,36.177796,120.487684,195.408527,1
5,36.177796,120.487684,195.408527,1
6,36.177796,120.487684,195.408527,1
7,36.177796,120.487684,195.409958,1
8,36.177796,120.487684,195.411289,1
9,36.177796,120.487684,195.411289,1
10,36.177796,120.487684,195.411289,1
11,36.177796,120.487684,195.41178,1
12,36.177796,120.487684,195.41178,1
13,36.177796,120.487684,195.412448,1
14,36.177796,120.487684,195.412448,1
15,36.177796,120.487684,195.412027,1
16,36.177796,120.487684,195.412027,1
17,36.177796,120.487684,195.412027,1
18,36.177796,120.487684,195.412027,1
19,36.177796,120.487684,195.413918,1
20,36.177796,120.487684,195.413918,1
21,36.177796,120.487684,195.414269,1
22,36.177796,120.487684,195.414269,1
23,36.177796,120.487684,195.414645,1
24,36.177796,120.487684,195.414645,1
25,36.177796,120.487684,195.415535,1
26,36.177796,120.487684,195.415535,1
27,36.177796,120.487684,195.415535,1
28,36.177796,120.487684,195.415535,1
29,36.177796,120.487684,195.417437,1
30,36.177796,120.487684,195.417437,1
31,36.177796,120.487684,195.415458,1
32,36.177796,120.487684,195.415458,1
33,36.177796,120.487684,195.415377,1
34,36.177796,120.487684,195.415377,1
35,36.177796,120.487684,195.41527,1
36,36.177796,120.487684,195.41527,1
37,36.177796,120.487684,195.418283,1
38,36.177796,120.487684,195.418283,1
39,36.177796,120.487684,195.418283,1
40,36.177796,120.487684,195.418283,1
41,36.177796,120.487684,195.416388,1
42,36.177796,120.487684,195.416388,1
43,36.177796,120.487684,195.414256,1
44,36.177796,120.487684,195.414256,1
45,36.177796,120.487684,195.414741,1
46,36.177796,120.487684,195.414741,1
47,36.177796,120.487684,195.418618,1
48,36.177796,120.487684,195.418618,1
49,36.177796,120.487684,195.415817,1
50,36.177796,120.487684,195.415817,1
51,36.177796,120.487684,195.415817,1
52,36.177796,120.487684,195.415817,1
53,36.177796,120.487684,195.416491,1
54,36.177796,120.487684,195.416491,1
55,36.177796,120.487684,195.417574,1
56,36.177796,120.487684,195.417574,1
57,36.177796,120.487684,195.410642,1
58,36.177796,120.487684,195.410642,1
59,36.177796,120.487684,195.408897,1
60,36.177796,120.487684,195.408897,1
61,36.177796,120.487684,195.409539,1
62,36.177796,120.487684,195.409539,1
63,36.177796,120.487684,195.409539,1
64,36.177796,120.487684,195.409539,1
65,36.177796,120.487684,195.408508,1
66,36.177796,120.487684,195.408508,1
67,36.177796,120.487684,195.409623,1
68,36.177796,120.487684,195.409623,1
69,36.177796,120.487684,195.409623,1
70,36.177796,120.487684,195.409623,1
71,36.177796,120.487684,195.408606,1
72,36.177796,120.487684,195.408606,1
73,36.177796,120.487684,195.40579,1
74,36.177796,120.487684,195.40579,1
75,36.177796,120.487684,195.40579,1
76,36.177796,120.487684,195.40579,1
77,36.177796,120.487684,195.408247,1
78,36.177796,120.487684,195.408247,1
79,36.177796,120.487684,195.40853,1
80,36.177796,120.487684,195.40853,1
81,36.177796,120.487684,195.407215,1
82,36.177796,120.487684,195.407215,1
83,36.177796,120.487684,195.406101,1
84,36.177796,120.487684,195.406101,1
85,36.177796,120.487684,195.406937,1
86,36.177796,120.487684,195.406937,1
87,36.177796,120.487684,195.406937,1
88,36.177796,120.487684,195.406937,1
89,36.177796,120.487684,195.409462,1
90,36.177796,120.487684,195.409462,1
91,36.177796,120.487684,195.40864,1
92,36.177796,120.487684,195.40864,1
93,36.177796,120.487684,195.40864,1
94,36.177796,120.487684,195.40864,1
95,36.177796,120.487684,195.409604,1
96,36.177796,120.487684,195.409604,1
97,36.177796,120.487684,195.412216,1
98,36.177796,120.487684,195.412216,1
99,36.177796,120.487684,195.410567,1
100,36.177796,120.487684,195.410567,1
101,36.177796,120.487684,195.410567,1
102,36.177796,120.487684,195.410567,1
103,36.177796,120.487684,195.410108,1
104,36.177796,120.487684,195.410108,1
105,36.177796,120.487684,195.410108,1
106,36.177796,120.487684,195.410108,1
107,36.177796,120.487684,195.411248,1
108,36.177796,120.487684,195.411248,1
109,36.177796,120.487684,195.411954,1
110,36.177796,120.487684,195.411954,1
111,36.177796,120.487684,195.410292,1
112,36.177796,120.487684,195.410292,1
113,36.177796,120.487684,195.411317,1
114,36.177796,120.487684,195.411317,1
115,36.177796,120.487684,195.411238,1
116,36.177796,120.487684,195.411238,1
117,36.177796,120.487684,195.411238,1
118,36.177796,120.487684,195.411238,1
119,36.177796,120.487684,195.412704,1
120,36.177796,120.487684,195.412704,1
121,36.177796,120.487684,195.412143,1
122,36.177796,120.487684,195.412143,1
123,36.177796,120.487684,195.412143,1
124,36.177796,120.487684,195.412143,1
125,36.177796,120.487684,195.41005,1
126,36.177796,120.487684,195.41005,1
127,36.177796,120.487684,195.411884,1
128,36.177796,120.487684,195.411884,1
129,36.177796,120.487684,195.411884,1
130,36.177796,120.487684,195.411884,1
131,36.177796,120.487684,195.410123,1
132,36.177796,120.487684,195.410123,1
133,36.177796,120.487684,195.409266,1
134,36.177796,120.487684,195.409266,1
135,36.177796,120.487684,195.409266,1
136,36.177796,120.487684,195.409266,1
137,36.177796,120.487684,195.411174,1
138,36.177796,120.487684,195.411174,1
139,36.177796,120.487684,195.411174,1
140,36.177796,120.487684,195.411174,1
141,36.177796,120.487684,195.410651,1
142,36.177796,120.487684,195.410651,1
143,36.177796,120.487684,195.410386,1
144,36.177796,120.487684,195.410386,1
145,36.177796,120.487684,195.411391,1
146,36.177796,120.487684,195.411391,1
147,36.177796,120.487684,195.414514,1
148,36.177796,120.487684,195.414514,1
149,36.177796,120.487684,195.413243,1
150,36.177796,120.487684,195.413243,1
151,36.177796,120.487684,195.413243,1
152,36.177796,120.487684,195.413243,1
153,36.177796,120.487684,195.41312,1
154,36.177796,120.487684,195.41312,1
155,36.177796,120.487684,195.416513,1
156,36.177796,120.487684,195.416513,1
157,36.177796,120.487684,195.416513,1
158,36.177796,120.487684,195.416513,1
159,36.177796,120.487684,195.410718,1
160,36.177796,120.487684,195.410718,1
161,36.177796,120.487684,195.409347,1
162,36.177796,120.487684,195.409347,1
163,36.177796,120.487684,195.409347,1
164,36.177796,120.487684,195.409347,1
165,36.177796,120.487684,195.410072,1
166,36.177796,120.487684,195.410072,1
167,36.177796,120.487684,195.411978,1
168,36.177796,120.487684,195.411978,1
169,36.177796,120.487684,195.411978,1
170,36.177796,120.487684,195.411978,1
171,36.177796,120.487684,195.409948,1
172,36.177796,120.487684,195.409948,1
173,36.177796,120.487684,195.408647,1
174,36.177796,120.487684,195.408647,1
175,36.177796,120.487684,195.408647,1
176,36.177796,120.487684,195.408647,1
177,36.177796,120.487684,195.410024,1
178,36.177796,120.487684,195.410024,1
179,36.177796,120.487684,195.410533,1
180,36.177796,120.487684,195.410533,1
181,36.177796,120.487684,195.409252,1
182,36.177796,120.487684,195.409252,1
183,36.177796,120.487684,195.40894,1
184,36.177796,120.487684,195.40894,1
185,36.177796,120.487684,195.408663,1
186,36.177796,120.487684,195.408663,1
187,36.177796,120.487684,195.408663,1
188,36.177796,120.487684,195.408663,1
189,36.177796,120.487684,195.412145,1
190,36.177796,120.487684,195.412145,1
191,36.177796,120.487684,195.409461,1
192,36.177796,120.487684,195.409461,1
193,36.177796,120.487684,195.409461,1
194,36.177796,120.487684,195.409461,1
195,36.177796,120.487684,195.411185,1
196,36.177796,120.487684,195.411185,1
197,36.177796,120.487684,195.413464,1
198,36.177796,120.487684,195.413464,1
199,36.177796,120.487684,195.413386,1
200,36.177796,120.487684,195.413386,1
201,36.177796,120.487684,195.413386,1
202,36.177796,120.487684,195.413386,1
203,36.177796,120.487684,195.413099,1
204,36.177796,120.487684,195.413099,1
205,36.177796,120.487684,195.413099,1
206,36.177796,120.487684,195.413099,1
207,36.177796,120.487684,195.414043,1
208,36.177796,120.487684,195.414043,1
209,36.177796,120.487684,195.414586,1
210,36.177796,120.487684,195.414586,1
211,36.177796,120.487684,195.414326,1
212,36.177796,120.487684,195.414326,1
213,36.177796,120.487684,195.414562,1
214,36.177796,120.487684,195.414562,1
215,36.177796,120.487684,195.415088,1
216,36.177796,120.487684,195.415088,1
217,36.177796,120.487684,195.415088,1
218,36.177796,120.487684,195.415088,1
219,36.177796,120.487684,195.41553,1
220,36.177796,120.487684,195.41553,1
221,36.177796,120.487684,195.413265,1
222,36.177796,120.487684,195.413265,1
223,36.177796,120.487684,195.413265,1
224,36.177796,120.487684,195.413265,1
225,36.177796,120.487684,195.415392,1
226,36.177796,120.487684,195.415392,1
227,36.177796,120.487684,195.41713,1
228,36.177796,120.487684,195.41713,1
229,36.177796,120.487684,195.41713,1
230,36.177796,120.487684,195.41713,1
231,36.177796,120.487684,195.41643,1
232,36.177796,120.487684,195.41643,1
233,36.177796,120.487684,195.415601,1
234,36.177796,120.487684,195.415601,1
235,36.177796,120.487684,195.415601,1
236,36.177796,120.487684,195.415601,1
237,36.177796,120.487684,195.414416,1
238,36.177796,120.487684,195.414416,1
239,36.177796,120.487684,195.414809,1
240,36.177796,120.487684,195.414809,1
241,36.177796,120.487684,195.413653,1
242,36.177796,120.487684,195.413653,1
243,36.177796,120.487684,195.412955,1
244,36.177796,120.487684,195.412955,1
245,36.177796,120.487684,195.413906,1
246,36.177796,120.487684,195.413906,1
247,36.177796,120.487684,195.413906,1
248,36.177796,120.487684,195.413906,1
249,36.177796,120.487684,195.415649,1
250,36.177796,120.487684,195.415649,1
251,36.177796,120.487684,195.415649,1
252,36.177796,120.487684,195.415649,1
253,36.177796,120.487684,195.413722,1
254,36.177796,120.487684,195.413722,1
255,36.177796,120.487684,195.413596,1
256,36.177796,120.487684,195.413596,1
257,36.177796,120.487684,195.413596,1
258,36.177796,120.487684,195.413596,1
259,36.177796,120.487684,195.412679,1
260,36.177796,120.487684,195.412679,1
261,36.177796,120.487684,195.410375,1
262,36.177796,120.487684,195.410375,1
263,36.177796,120.487684,195.410375,1
264,36.177796,120.487684,195.410375,1
265,36.177796,120.487684,195.408587,1
266,36.177796,120.487684,195.408587,1
267,36.177796,120.487684,195.410016,1
268,36.177796,120.487684,195.410016,1
269,36.177796,120.487684,195.410016,1
270,36.177796,120.487684,195.410016,1
271,36.177796,120.487684,195.409811,1
272,36.177796,120.487684,195.409811,1
273,36.177796,120.487684,195.410086,1
274,36.177796,120.487684,195.410086,1
275,36.177796,120.487684,195.410086,1
276,36.177796,120.487684,195.410086,1
277,36.177796,120.487684,195.410275,1
278,36.177796,120.487684,195.410275,1
279,36.177796,120.487684,195.409958,1
280,36.177796,120.487684,195.409958,1
281,36.177796,120.487684,195.410703,1
282,36.177796,120.487684,195.41201,1
283,36.177796,120.487684,195.41201,1
284,36.177796,120.487684,195.41201,1
285,36.177796,120.487684,195.413211,1
286,36.177796,120.487684,195.413211,1
287,36.177796,120.487684,195.413211,1
288,36.177796,120.487684,195.413211,1
289,36.177796,120.487684,195.414005,1
290,36.177796,120.487684,195.414005,1
291,36.177796,120.487684,195.410053,1
292,36.177796,120.487684,195.410053,1
293,36.177796,120.487684,195.410053,1
294,36.177796,120.487684,195.410053,1
295,36.177796,120.487684,195.40926,1
296,36.177796,120.487684,195.40926,1
297,36.177796,120.487684,195.411143,1
298,36.177796,120.487684,195.411143,1
299,36.177796,120.487684,195.410942,1
300,36.177796,120.487684,195.410942,1
301,36.177796,120.487684,195.410286,1
302,36.177796,120.487684,195.410286,1
303,36.177796,120.487684,195.411435,1
304,36.177796,120.487684,195.411435,1
305,36.177796,120.487684,195.411435,1
306,36.177796,120.487684,195.411435,1
307,36.177796,120.487684,195.411981,1
308,36.177796,120.487684,195.411981,1
309,36.177796,120.487684,195.415311,1
310,36.177796,120.487684,195.415311,1
311,36.177796,120.487684,195.416272,1
312,36.177796,120.487684,195.416272,1
313,36.177796,120.487684,195.416556,1
314,36.177796,120.487684,195.416556,1
